Topic,Title,Content,Date,Link,src
Sports,Dubai Tennis Tournament: Ons Jabeur through to Round of 16 after defeating US Alison Riske,"(TAP) - Tunisian tennis player Ons Jabeur (world 45th) qualified on Monday for the Round of 16 of the $2,908,770 Dubai tournament in the United Arab Emirates after beating US Alison Riske (World 18th) by two sets to one.The Tunisian, holder of a wild card, beat the US tennis player 7-6, 1-6, 6-3 after 2 hours 14 mn of play.Jabeur, will play the world number 2 in the next round, Romanian Simona Halep, who qualified directly.","17/02/2020 16:45, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12336327-dubai-tennis,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,2020 Arab Cup U-20: Tunisia beat Iraq 2-1,"(TAP) – Tunisia’s U20 football team beat Monday afternoon in Dammam, Saudi Arabia, their Iraqi counterpart (2-1) at a 2020 Arab Cup U-20 day-1 game. Tunisia will take on Mauritania on Thursday for day 2 before playing Kuwait on February 23 for day 3.The 2020 Arab Cup U-20 resumes this year after an eight year cutoff. The last one was organised in 2012 in Jordan.Tunisia (titleholder) participates with 15 other countries, namely Saudi Arabia (organising country), Qatar, Morocco, the United Arab Emirates, Bahrain, Kuwait, Sudan, Egypt, Palestine, Algeria, Libya, the Comoros Islands, Libya, Iraq and Djibouti.","17/02/2020 16:11, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12336109-2020-arab-cup-u-20,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,ATP Rankings: Malek Jaziri up one spot to No. 259   ,"(TAP) - Tunisian tennis player Malek Jaziri moved up one spot to No. 259 in the latest ATP rankings published on Monday. Trio Novak Djokavic,  Rafael Nadal and Roger Federer still lead the Top 10. ","17/02/2020 12:43, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12335271-atp-rankings-malek,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,CAF Super Cup: Espérance ST - Zamalek 1-3,"(TAP) - CAF Cup winner Egypt's Zamalek won the CAF Super Cup, after defeating Champions League winner Espérance ST 3-1, on Friday in Doha.The goals were scored by Youssef Ibrahim ""Obama"" (2), Achraf Bencharfi (58, 90+5) for  Zamalek and Abderraouf Ben Ghuit (54) for Espérance ST.","14/02/2020 19:00, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12327967-caf-super-cup,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Fencing: Tunisia will participate on February 15 and 16 in World Cup of Sabre in Algiers ,"(TAP)-Tunisia will participate on February 15 and 16 in Algiers in the World Cup of Sabre (junior girls) that will be hosted by Women's Sports Center (Algiers). 36 sabers from nine countries will take part in the competition namely, Algeria, Tunisia, Egypt, Belgium, Croatia, France, Italy, Ukraine and Uzbekistan.","14/02/2020 17:35, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12327652-fencing-tunisia,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,UNAF Women's Tournament - Day 1: Tunisia - Morocco 0-1,"(TAP)– The Tunisian women's team conceded defeat to Morocco's 0-1, at a UNAF Women's Tournament day-1 game, played on Friday in Tunis.Day 1 Results:Tanzania- Mauritania    7-0Tunisia- Morocco          1-0 Standings 	P	G	  1- Tanzania	3	1	  2- Morocco	3	1	  3- Tunisia	0	1	  - Mauritania	0	1	  - Algeria	0	0	 ","14/02/2020 17:15, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12327608-unaf-women-s,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Tokyo 2020 Olympics (volleyball): Tunisia to play Brazil in first game ,"(TAP) – The national men's team will face defending champions Brazil on July 25 in their first Tokyo 2020 Olympics volleyball tournament game, according to a schedule released Thursday by the International Volleyball Federation.     Tunisia, drawn in Group B in the first round, will then play France (July 27), the USA (July 29), Argentina (July 31) and Russia (August 2).   ","14/02/2020 12:14, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12326349-tokyo-2020-olympics,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Basketball – Arab Women Sports Tournament: ES Cap Bon finish 3rd ,"(TAP) – Tunisia’s ES Cap Bon women’s basketball team finished 3rd at the 5th Arab Women Sports Tournament, after conceding defeat to Algeria’s GS Pétroliers 58-70, in a placement game played on Wednesday in Sharjah (UAE).   ES Cap Bon had conceded defeat to Jordan’s Al Fuheis 71-77, at the semi-final.","13/02/2020 10:00, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12322729-basketball-arab,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Arab Women Sports Volleyball Tournament - Placement game: CS Sfaxien rank 3rd,"(TAP) - Tunisia’s CS Sfaxien ended ranking 3rd at the 5th Arab Women Sports Volleyball Tournament, after defeating UAE’s Sharjah 3-0 (25-12, 25-16, 25-7) in a placement game, played on Wednesday in Sharjah, UAE.","12/02/2020 12:46, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12319814-arab-women-sports,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Basketball – Arab Women Sports Tournament - semi-finals: ES Cap Bon eliminated by Jordan's Al Fuheis 71-77,"(TAP) - Tunisia's ES Cap Bon were defeated by Jordan's Al Fuheis 71-77 at an Arab Women Sports Tournament basketball semi-final game played on Tuesday evening in Sharjah, UAE.The Tunisians had qualified for the quarter-finals after beating Bahrain's Riffa Sports 96-77 at the quarter-final last Sunday.In the other semi-final, Algeria's GS Petroliers lost to Egypt's Sporting 52-67.The final will pit Sporting against Al Fuheis on Wednesday, while ES Cap Bon and GS Pétroliers will play for the third place on the same day.","11/02/2020 22:27, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12317958-basketball-arab,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
